state,city,RDPC
PR,Douradina/PR,708.51
SP,Dourado/SP,697.37
MG,Douradoquara/MG,640.34
MS,Dourados/MS,866.4
PR,Doutor Camargo/PR,639.19
RS,Doutor Maurício Cardoso/RS,652.63
SC,Doutor Pedrinho/SC,679.44
RS,Doutor Ricardo/RS,843.35
RN,Doutor Severiano/RN,272.21
PR,Doutor Ulysses/PR,277.33
GO,Doverlândia/GO,563.89
SP,Dracena/SP,862.86
SP,Duartina/SP,688.4
RJ,Duas Barras/RJ,540.35
PB,Duas Estradas/PB,269.85
TO,Dueré/TO,467.9
SP,Dumont/SP,705.3
MA,Duque Bacelar/MA,163.87
RJ,Duque de Caxias/RJ,592.81
MG,Durandé/MG,392.68
BA,Dário Meira/BA,206.16
SP,Echaporã/SP,703.55
ES,Ecoporanga/ES,406.49
GO,Edealina/GO,715.8
GO,Edéia/GO,876.15
AM,Eirunepé/AM,241.86
PA,Eldorado do Carajás/PA,281.12
RS,Eldorado do Sul/RS,692.0
MS,Eldorado/MS,530.89
SP,Eldorado/SP,411.0
PI,Elesbão Veloso/PI,283.38
SP,Elias Fausto/SP,625.66
PI,Eliseu Martins/PI,370.7
SP,Elisiário/SP,666.93
BA,Elísio Medrado/BA,315.04
MG,Elói Mendes/MG,577.5
PB,Emas/PB,251.41
SP,Embaúba/SP,717.97
SP,Embu das Artes/SP,622.77
SP,Embu-Guaçu/SP,676.52
SP,Emilianópolis/SP,584.76
RS,Encantado/RS,931.47
RN,Encanto/RN,312.34
RS,Encruzilhada do Sul/RS,539.0
BA,Encruzilhada/BA,220.0
PR,Engenheiro Beltrão/PR,629.05
MG,Engenheiro Caldas/MG,407.77
SP,Engenheiro Coelho/SP,707.37
MG,Engenheiro Navarro/MG,332.37
RJ,Engenheiro Paulo de Frontin/RJ,529.05
RS,Engenho Velho/RS,775.44
MG,Entre Folhas/MG,373.1
MG,Entre Rios de Minas/MG,527.33
PR,Entre Rios do Oeste/PR,1013.75
RS,Entre Rios do Sul/RS,657.86
BA,Entre Rios/BA,338.53
SC,Entre Rios/SC,423.63
RS,Entre-Ijuís/RS,594.67
AM,Envira/AM,204.98
PR,Enéas Marques/PR,948.7
AC,Epitaciolândia/AC,467.83
RN,Equador/RN,292.55
RS,Erebango/RS,583.76
RS,Erechim/RS,1038.39
CE,Ereré/CE,246.27
SC,Ermo/SC,655.45
RS,Ernestina/RS,634.28
RS,Erval Grande/RS,677.58
RS,Erval Seco/RS,505.57
SC,Erval Velho/SC,780.33
MG,Ervália/MG,429.35
PE,Escada/PE,322.46
RS,Esmeralda/RS,514.34
MG,Esmeraldas/MG,452.62
MG,Espera Feliz/MG,496.04
PI,Esperantina/PI,293.39
TO,Esperantina/TO,174.51
MA,Esperantinópolis/MA,262.41
PR,Esperança Nova/PR,584.46
RS,Esperança do Sul/RS,502.89
PB,Esperança/PB,330.66
PR,Espigão Alto do Iguaçu/PR,409.12
RO,Espigão D'Oeste/RO,590.8
MG,Espinosa/MG,299.13
BA,Esplanada/BA,312.58
RS,Espumoso/RS,834.66
MG,Espírito Santo do Dourado/MG,486.55
SP,Espírito Santo do Pinhal/SP,1048.6
SP,Espírito Santo do Turvo/SP,533.76
RN,Espírito Santo/RN,243.23
RS,Estação/RS,862.69
RS,Esteio/RS,955.86
SP,Estiva Gerbi/SP,686.89
MG,Estiva/MG,547.01
MA,Estreito/MA,503.29
MG,Estrela Dalva/MG,701.83
RS,Estrela Velha/RS,650.28
SP,Estrela d'Oeste/SP,670.65
AL,Estrela de Alagoas/AL,196.92
MG,Estrela do Indaiá/MG,547.21
GO,Estrela do Norte/GO,636.54
SP,Estrela do Norte/SP,597.74
MG,Estrela do Sul/MG,600.41
RS,Estrela/RS,1002.78
RS,Estância Velha/RS,848.45
SE,Estância/SE,395.41
SP,Euclides da Cunha Paulista/SP,493.91
BA,Euclides da Cunha/BA,269.58
MG,Eugenópolis/MG,486.46
RS,Eugênio de Castro/RS,613.5
BA,Eunápolis/BA,575.44
CE,Eusébio/CE,623.01
MG,Ewbank da Câmara/MG,391.34
MG,Extrema/MG,745.21
RN,Extremoz/RN,428.65
PE,Exu/PE,234.83
RS,Fagundes Varela/RS,981.99
PB,Fagundes/PB,235.02
GO,Faina/GO,441.39
MG,Fama/MG,624.24
MG,Faria Lemos/MG,544.77
CE,Farias Brito/CE,231.88
PA,Faro/PA,180.47
PR,Farol/PR,521.09
RS,Farroupilha/RS,1045.05
PI,Fartura do Piauí/PI,186.85
SP,Fartura/SP,618.77
RS,Faxinal do Soturno/RS,760.86
SC,Faxinal dos Guedes/SC,828.49
PR,Faxinal/PR,612.79
RS,Faxinalzinho/RS,445.67
GO,Fazenda Nova/GO,519.87
PR,Fazenda Rio Grande/PR,677.31
RS,Fazenda Vilanova/RS,734.82
AC,Feijó/AC,259.43
AL,Feira Grande/AL,193.07
MA,Feira Nova do Maranhão/MA,192.39
PE,Feira Nova/PE,296.5
SE,Feira Nova/SE,238.42
BA,Feira da Mata/BA,212.22
BA,Feira de Santana/BA,662.24
RN,Felipe Guerra/RN,298.6
MG,Felisburgo/MG,290.8
MG,Felixlândia/MG,459.52
AL,Feliz Deserto/AL,245.49
MT,Feliz Natal/MT,786.26
RS,Feliz/RS,897.05
MG,Felício dos Santos/MG,274.2
PR,Fernandes Pinheiro/PR,446.98
MG,Fernandes Tourinho/MG,351.58
MA,Fernando Falcão/MA,106.99
RN,Fernando Pedroza/RN,269.67
SP,Fernando Prestes/SP,832.72
PE,Fernando de Noronha/PE,1034.14
SP,Fernandópolis/SP,944.0
SP,Fernão/SP,510.09
SP,Ferraz de Vasconcelos/SP,587.83
AP,Ferreira Gomes/AP,416.72
PE,Ferreiros/PE,311.83
MG,Ferros/MG,392.08
MG,Fervedouro/MG,301.55
PR,Figueira/PR,551.93
MS,Figueirão/MS,541.93
MT,Figueirópolis D'Oeste/MT,502.34
TO,Figueirópolis/TO,498.31
BA,Filadélfia/BA,250.08
TO,Filadélfia/TO,291.57
BA,Firmino Alves/BA,325.51
GO,Firminópolis/GO,552.43
AL,Flexeiras/AL,213.44
PR,Flor da Serra do Sul/PR,549.7
SC,Flor do Sertão/SC,778.06
SP,Flora Rica/SP,511.8
PR,Floraí/PR,792.48
SP,Floreal/SP,663.83
RS,Flores da Cunha/RS,1062.06
GO,Flores de Goiás/GO,301.92
PI,Flores do Piauí/PI,210.02
PE,Flores/PE,236.31
BA,Floresta Azul/BA,242.04
PA,Floresta do Araguaia/PA,283.57
PI,Floresta do Piauí/PI,216.87
PE,Floresta/PE,310.39
PR,Floresta/PR,649.71
MG,Florestal/MG,741.46
PR,Florestópolis/PR,555.82
RS,Floriano Peixoto/RS,626.67
PI,Floriano/PI,536.3
SC,Florianópolis/SC,1798.12
RN,Florânia/RN,359.0
SP,Florínea/SP,544.03
SP,Flórida Paulista/SP,632.97
PR,Flórida/PR,652.52
AM,Fonte Boa/AM,200.4
RS,Fontoura Xavier/RS,511.46
MG,Formiga/MG,746.8
RS,Formigueiro/RS,586.75
MA,Formosa da Serra Negra/MA,163.15
PR,Formosa do Oeste/PR,593.44
BA,Formosa do Rio Preto/BA,287.94
SC,Formosa do Sul/SC,744.5
GO,Formosa/GO,732.24
TO,Formoso do Araguaia/TO,429.17
GO,Formoso/GO,569.96
MG,Formoso/MG,370.41
RS,Forquetinha/RS,812.72
CE,Forquilha/CE,300.9
SC,Forquilhinha/SC,870.85
MG,Fortaleza de Minas/MG,562.53
MA,Fortaleza dos Nogueiras/MA,271.6
RS,Fortaleza dos Valos/RS,1021.84
CE,Fortaleza/CE,846.36
CE,Fortim/CE,264.14
MG,Fortuna de Minas/MG,459.52
MA,Fortuna/MA,257.81
PR,Foz do Iguaçu/PR,842.26
PR,Foz do Jordão/PR,467.65
SC,Fraiburgo/SC,673.84
SP,Franca/SP,846.57
PI,Francinópolis/PI,206.73
PR,Francisco Alves/PR,512.87
PI,Francisco Ayres/PI,268.41
MG,Francisco Badaró/MG,286.56
PR,Francisco Beltrão/PR,895.36
RN,Francisco Dantas/RN,298.43
MG,Francisco Dumont/MG,326.7
PI,Francisco Macedo/PI,273.23
SP,Francisco Morato/SP,483.98
PI,Francisco Santos/PI,330.49
MG,Francisco Sá/MG,344.32
MG,Franciscópolis/MG,296.76
SP,Franco da Rocha/SP,632.42
CE,Frecheirinha/CE,246.03
RS,Frederico Westphalen/RS,875.03
MG,Frei Gaspar/MG,275.62
MG,Frei Inocêncio/MG,389.61
MG,Frei Lagonegro/MG,201.83
PB,Frei Martinho/PB,405.38
PE,Frei Miguelinho/PE,286.08
SE,Frei Paulo/SE,386.65
SC,Frei Rogério/SC,498.33
MG,Fronteira dos Vales/MG,255.11
MG,Fronteira/MG,598.68
PI,Fronteiras/PI,380.62
MG,Fruta de Leite/MG,241.93
MG,Frutal/MG,752.01
RN,Frutuoso Gomes/RN,269.48
ES,Fundão/ES,657.18
MG,Funilândia/MG,360.59
MS,Fátima do Sul/MS,701.87
BA,Fátima/BA,250.6
TO,Fátima/TO,464.94
PR,Fênix/PR,514.41
SP,Gabriel Monteiro/SP,712.72
PB,Gado Bravo/PB,170.29
MG,Galiléia/MG,442.14
RN,Galinhos/RN,291.78
SC,Galvão/SC,638.12
GO,Gameleira de Goiás/GO,594.56
PE,Gameleira/PE,231.5
MG,Gameleiras/MG,258.85
BA,Gandu/BA,442.37
PE,Garanhuns/PE,492.44
SE,Gararu/SE,236.06
RS,Garibaldi/RS,1355.37
SC,Garopaba/SC,784.88
PA,Garrafão do Norte/PA,229.91
RS,Garruchos/RS,476.17
SC,Garuva/SC,691.98
SP,Garça/SP,786.83
SC,Gaspar/SC,964.36
SP,Gastão Vidigal/SP,736.47
RS,Gaurama/RS,765.58
SP,Gavião Peixoto/SP,575.08
BA,Gavião/BA,271.53
MT,Gaúcha do Norte/MT,481.01
PI,Geminiano/PI,208.67
MT,General Carneiro/MT,441.94
PR,General Carneiro/PR,423.27
RS,General Câmara/RS,640.45
SE,General Maynard/SE,354.58
SP,General Salgado/SP,771.92
CE,General Sampaio/CE,242.1
RS,Gentil/RS,662.04
BA,Gentio do Ouro/BA,207.35
SP,Getulina/SP,608.58
RS,Getúlio Vargas/RS,837.17
PI,Gilbués/PI,285.45
AL,Girau do Ponciano/AL,177.55
RS,Giruá/RS,653.18
MG,Glaucilândia/MG,293.97
SP,Glicério/SP,777.37
RS,Glorinha/RS,686.99
MT,Glória D'Oeste/MT,564.35
MS,Glória de Dourados/MS,644.1
PE,Glória do Goitá/PE,278.33
BA,Glória/BA,266.14
MA,Godofredo Viana/MA,225.47
PR,Godoy Moreira/PR,434.45
MG,Goiabeira/MG,398.14
PE,Goiana/PE,364.77
GO,Goiandira/GO,667.11
RN,Goianinha/RN,377.59
GO,Goianira/GO,529.59
TO,Goianorte/TO,329.64
MG,Goianá/MG,558.09
GO,Goianápolis/GO,543.48
PA,Goianésia do Pará/PA,303.9
GO,Goianésia/GO,701.38
TO,Goiatins/TO,232.19
GO,Goiatuba/GO,785.84
PR,Goioerê/PR,707.58
PR,Goioxim/PR,320.16
GO,Goiás/GO,674.54
GO,Goiânia/GO,1348.55
BA,Gongogi/BA,234.7
MG,Gonzaga/MG,258.04
MA,Gonçalves Dias/MA,233.2
MG,Gonçalves/MG,519.03
MG,Gouveia/MG,382.78
GO,Gouvelândia/GO,549.9
MA,Governador Archer/MA,237.47
SC,Governador Celso Ramos/SC,784.5
RN,Governador Dix-Sept Rosado/RN,267.12
MA,Governador Edison Lobão/MA,312.56
MA,Governador Eugênio Barros/MA,245.38
RO,Governador Jorge Teixeira/RO,396.36
ES,Governador Lindenberg/ES,515.11
MA,Governador Luiz Rocha/MA,188.68
BA,Governador Mangabeira/BA,322.02
MA,Governador Newton Bello/MA,190.15
MA,Governador Nunes Freire/MA,230.94
MG,Governador Valadares/MG,678.74
SE,Graccho Cardoso/SE,264.86
MA,Grajaú/MA,340.1
RS,Gramado Xavier/RS,552.44
RS,Gramado dos Loureiros/RS,491.1
RS,Gramado/RS,1045.52
PR,Grandes Rios/PR,455.19
PE,Granito/PE,234.9
CE,Granja/CE,173.99
CE,Granjeiro/CE,221.14
SC,Gravatal/SC,730.8
RS,Gravataí/RS,737.29
PE,Gravatá/PE,402.96
MA,Graça Aranha/MA,227.51
CE,Graça/CE,195.67
CE,Groaíras/CE,304.64
RN,Grossos/RN,410.84
MG,Grupiara/MG,548.38
MG,Grão Mogol/MG,293.87
SC,Grão Pará/SC,845.01
RS,Guabiju/RS,1408.71
SC,Guabiruba/SC,851.75
PI,Guadalupe/PI,426.79
SP,Guaimbê/SP,532.14
PR,Guairaçá/PR,614.06
SP,Guaiçara/SP,610.2
CE,Guaiúba/CE,239.69
RO,Guajará-Mirim/RO,494.69
AM,Guajará/AM,191.04
BA,Guajeru/BA,241.69
RN,Guamaré/RN,407.49
PR,Guamiranga/PR,478.34
BA,Guanambi/BA,496.05
MG,Guanhães/MG,560.99
SP,Guapiara/SP,412.51
SP,Guapiaçu/SP,741.42
RJ,Guapimirim/RJ,594.06
PR,Guapirama/PR,505.91
PR,Guaporema/PR,572.72
RS,Guaporé/RS,1035.41
MG,Guapé/MG,487.68
GO,Guapó/GO,657.02
PB,Guarabira/PB,430.83
PR,Guaraci/PR,595.93
SP,Guaraci/SP,615.78
CE,Guaraciaba do Norte/CE,247.55
MG,Guaraciaba/MG,373.48
SC,Guaraciaba/SC,873.67
MG,Guaraciama/MG,306.99
CE,Guaramiranga/CE,287.35
SC,Guaramirim/SC,842.24
SP,Guarani d'Oeste/SP,557.58
RS,Guarani das Missões/RS,615.87
GO,Guarani de Goiás/GO,276.13
MG,Guarani/MG,568.73
PR,Guaraniaçu/PR,614.94
MT,Guarantã do Norte/MT,594.14
SP,Guarantã/SP,615.97
MG,Guaranésia/MG,598.17
ES,Guarapari/ES,830.51
PR,Guarapuava/PR,750.09
PR,Guaraqueçaba/PR,307.8
SP,Guararapes/SP,739.89
SP,Guararema/SP,748.79
MG,Guarará/MG,457.9
BA,Guaratinga/BA,258.74
SP,Guaratinguetá/SP,926.78
PR,Guaratuba/PR,782.92
SP,Guaraçaí/SP,619.41
TO,Guaraí/TO,722.83
GO,Guaraíta/GO,421.71
MG,Guarda-Mor/MG,660.72
SP,Guareí/SP,594.42
SP,Guariba/SP,671.34
PI,Guaribas/PI,162.06
GO,Guarinos/GO,343.74
SC,Guarujá do Sul/SC,759.66
SP,Guarujá/SP,745.0
SP,Guarulhos/SP,829.91
SP,Guará/SP,664.56
SC,Guatambú/SC,687.32
SP,Guatapará/SP,723.83
MG,Guaxupé/MG,746.7
ES,Guaçuí/ES,587.91
RS,Guaíba/RS,758.83
PR,Guaíra/PR,795.84
SP,Guaíra/SP,901.23
MS,Guia Lopes da Laguna/MS,541.87
MG,Guidoval/MG,512.85
MG,Guimarânia/MG,552.31
MA,Guimarães/MA,223.14
MT,Guiratinga/MT,542.02
MG,Guiricema/MG,469.56
MG,Gurinhatã/MG,587.76
PB,Gurinhém/PB,235.88
PB,Gurjão/PB,288.53
TO,Gurupi/TO,778.9
PA,Gurupá/PA,191.06
SP,Guzolândia/SP,537.05
SP,Gália/SP,565.41
RS,Harmonia/RS,840.55
GO,Heitoraí/GO,487.99
MG,Heliodora/MG,474.0
BA,Heliópolis/BA,241.36
SP,Herculândia/SP,549.27
SC,Herval d'Oeste/SC,799.29
RS,Herval/RS,752.24
RS,Herveiras/RS,516.11
GO,Hidrolina/GO,461.13
CE,Hidrolândia/CE,243.41
GO,Hidrolândia/GO,651.41
SP,Holambra/SP,1274.53
PR,Honório Serpa/PR,443.83
CE,Horizonte/CE,322.78
RS,Horizontina/RS,1037.04
SP,Hortolândia/SP,686.96
PI,Hugo Napoleão/PI,214.09
RS,Hulha Negra/RS,465.17
AM,Humaitá/AM,382.13
RS,Humaitá/RS,759.99
MA,Humberto de Campos/MA,125.91
SP,Iacanga/SP,712.15
GO,Iaciara/GO,368.39
SP,Iacri/SP,628.14
MG,Iapu/MG,427.85
SP,Iaras/SP,497.81
PE,Iati/PE,200.95
BA,Iaçu/BA,311.24
PR,Ibaiti/PR,787.74
RS,Ibarama/RS,572.6
CE,Ibaretama/CE,199.63
AL,Ibateguara/AL,199.68
ES,Ibatiba/ES,458.35
SP,Ibaté/SP,552.79
PR,Ibema/PR,499.24
MG,Ibertioga/MG,347.21
SC,Ibiam/SC,786.22
CE,Ibiapina/CE,258.57
PB,Ibiara/PB,242.08
BA,Ibiassucê/BA,350.98
RS,Ibiaçá/RS,940.93
MG,Ibiaí/MG,269.24
BA,Ibicaraí/BA,354.75
SC,Ibicaré/SC,768.67
BA,Ibicoara/BA,300.89
CE,Ibicuitinga/CE,196.54
BA,Ibicuí/BA,307.49
PE,Ibimirim/PE,220.98
BA,Ibipeba/BA,290.82
BA,Ibipitanga/BA,249.32
PR,Ibiporã/PR,706.25
BA,Ibiquera/BA,199.55
MG,Ibiracatu/MG,225.72
MG,Ibiraci/MG,609.71
RS,Ibiraiaras/RS,795.0
PE,Ibirajuba/PE,238.23
SC,Ibirama/SC,844.25
BA,Ibirapitanga/BA,261.88
RS,Ibirapuitã/RS,544.81
BA,Ibirapuã/BA,431.31
SP,Ibirarema/SP,593.7
BA,Ibirataia/BA,278.69
ES,Ibiraçu/ES,764.33
MG,Ibirité/MG,525.64
RS,Ibirubá/RS,1062.3
SP,Ibirá/SP,803.36
BA,Ibitiara/BA,244.68
SP,Ibitinga/SP,791.99
ES,Ibitirama/ES,353.86
BA,Ibititá/BA,250.63
MG,Ibitiúra de Minas/MG,479.81
MG,Ibituruna/MG,426.36
MG,Ibiá/MG,781.68
SP,Ibiúna/SP,624.55
BA,Ibotirama/BA,337.12
CE,Icapuí/CE,280.79
MG,Icaraí de Minas/MG,277.4
PR,Icaraíma/PR,525.92
MA,Icatu/MA,154.09
BA,Ichu/BA,296.17
ES,Iconha/ES,660.78
SP,Icém/SP,690.78
CE,Icó/CE,274.01
RN,Ielmo Marinho/RN,204.5
SP,Iepê/SP,623.96
AL,Igaci/AL,241.17
BA,Igaporã/BA,306.74
PB,Igaracy/PB,286.68
SP,Igarapava/SP,1228.09
MA,Igarapé Grande/MA,292.16
MA,Igarapé do Meio/MA,216.25
PA,Igarapé-Açu/PA,293.71
PA,Igarapé-Miri/PA,196.34
MG,Igarapé/MG,570.58
PE,Igarassu/PE,384.1
MG,Igaratinga/MG,556.96
SP,Igaratá/SP,561.31
SP,Igaraçu do Tietê/SP,590.77
BA,Igrapiúna/BA,269.34
AL,Igreja Nova/AL,254.34
RS,Igrejinha/RS,848.23
RJ,Iguaba Grande/RJ,818.01
SP,Iguape/SP,588.36
PE,Iguaracy/PE,295.88
PR,Iguaraçu/PR,678.32
MG,Iguatama/MG,604.59
MS,Iguatemi/MS,519.03
CE,Iguatu/CE,434.67
PR,Iguatu/PR,523.94
BA,Iguaí/BA,258.8
MG,Ijaci/MG,495.95
RS,Ijuí/RS,1066.65
SP,Ilha Comprida/SP,608.83
PI,Ilha Grande/PI,221.81
SP,Ilha Solteira/SP,1063.04
SE,Ilha das Flores/SE,195.64
PE,Ilha de Itamaracá/PE,394.85
SP,Ilhabela/SP,794.57
SC,Ilhota/SC,853.29
BA,Ilhéus/BA,579.46
MG,Ilicínea/MG,500.79
RS,Ilópolis/RS,884.57
PB,Imaculada/PB,208.83
SC,Imaruí/SC,516.73
PR,Imbaú/PR,418.52
SC,Imbituba/SC,768.81
PR,Imbituva/PR,553.65
SC,Imbuia/SC,688.57
MG,Imbé de Minas/MG,281.68
RS,Imbé/RS,1359.66
RS,Imigrante/RS,928.0
MA,Imperatriz/MA,613.87
GO,Inaciolândia/GO,560.52
PE,Inajá/PE,182.73
PR,Inajá/PR,538.69
MG,Inconfidentes/MG,579.13
MG,Indaiabira/MG,286.93
SC,Indaial/SC,945.33
SP,Indaiatuba/SP,1098.31
CE,Independência/CE,262.34
RS,Independência/RS,665.99
SP,Indiana/SP,681.29
MG,Indianópolis/MG,499.36
PR,Indianópolis/PR,652.36
SP,Indiaporã/SP,680.85
GO,Indiara/GO,598.96
SE,Indiaroba/SE,220.89
MT,Indiavaí/MT,443.9
PE,Ingazeira/PE,286.41
MG,Ingaí/MG,602.08
PB,Ingá/PB,282.85
RS,Inhacorá/RS,448.48
BA,Inhambupe/BA,254.99
PA,Inhangapi/PA,245.7
AL,Inhapi/AL,180.64
MG,Inhapim/MG,434.81
MG,Inhaúma/MG,477.55
PI,Inhuma/PI,263.73
GO,Inhumas/GO,697.81
MG,Inimutaba/MG,389.93
MS,Inocência/MS,633.12
PR,Inácio Martins/PR,385.92
SP,Inúbia Paulista/SP,576.91
SC,Iomerê/SC,873.9
MG,Ipaba/MG,403.9
GO,Ipameri/GO,666.96
MG,Ipanema/MG,518.1
RN,Ipanguaçu/RN,273.8
CE,Ipaporanga/CE,182.11
MG,Ipatinga/MG,862.91
CE,Ipaumirim/CE,380.61
SP,Ipaussu/SP,677.42
BA,Ipecaetá/BA,186.54
SP,Iperó/SP,551.75
SP,Ipeúna/SP,785.15
MG,Ipiaçu/MG,550.98
BA,Ipiaú/BA,573.36
SP,Ipiguá/SP,608.53
SC,Ipira/SC,725.68
GO,Ipiranga de Goiás/GO,436.1
MT,Ipiranga do Norte/MT,812.25
PI,Ipiranga do Piauí/PI,261.12
RS,Ipiranga do Sul/RS,1301.23
PR,Ipiranga/PR,564.83
BA,Ipirá/BA,274.88
PA,Ipixuna do Pará/PA,188.48
AM,Ipixuna/AM,154.54
PE,Ipojuca/PE,362.68
SP,Iporanga/SP,421.14
GO,Iporá/GO,757.39
SC,Iporã do Oeste/SC,815.06
PR,Iporã/PR,608.93
CE,Ipu/CE,301.38
SC,Ipuaçu/SC,530.81
PE,Ipubi/PE,231.47
RN,Ipueira/RN,395.09
CE,Ipueiras/CE,222.22
TO,Ipueiras/TO,288.55
MG,Ipuiúna/MG,719.24
SC,Ipumirim/SC,837.81
BA,Ipupiara/BA,258.3
SP,Ipuã/SP,900.48
RS,Ipê/RS,856.32
PR,Iracema do Oeste/PR,524.51
CE,Iracema/CE,328.61
RR,Iracema/RR,261.18
SC,Iraceminha/SC,663.24
SP,Iracemápolis/SP,808.74
BA,Irajuba/BA,236.16
BA,Iramaia/BA,234.91
AM,Iranduba/AM,349.23
SC,Irani/SC,686.25
SP,Irapuru/SP,589.82
SP,Irapuã/SP,579.58
BA,Iraquara/BA,242.58
BA,Irará/BA,308.34
PR,Irati/PR,685.81
SC,Irati/SC,601.25
CE,Irauçuba/CE,211.75
MG,Iraí de Minas/MG,642.98
RS,Iraí/RS,564.49
BA,Irecê/BA,488.15
PR,Iretama/PR,608.11
SC,Irineópolis/SC,708.34
PA,Irituia/PA,224.25
ES,Irupi/ES,481.28
PI,Isaías Coelho/PI,397.98
GO,Israelândia/GO,498.82
RS,Itaara/RS,913.96
PB,Itabaiana/PB,319.34
SE,Itabaiana/SE,443.39
SE,Itabaianinha/SE,253.22
BA,Itabela/BA,365.39
BA,Itaberaba/BA,422.79
GO,Itaberaí/GO,773.67
SP,Itaberá/SP,462.03
SE,Itabi/SE,276.77
MG,Itabira/MG,744.61
MG,Itabirinha/MG,390.33
MG,Itabirito/MG,784.55
RJ,Itaboraí/RJ,584.35
BA,Itabuna/BA,605.12
TO,Itacajá/TO,304.55
MG,Itacambira/MG,277.92
MG,Itacarambi/MG,321.22
BA,Itacaré/BA,323.3
AM,Itacoatiara/AM,373.71
PE,Itacuruba/PE,271.71
RS,Itacurubi/RS,593.23
BA,Itaeté/BA,224.79
BA,Itagi/BA,234.8
BA,Itagibá/BA,270.27
BA,Itagimirim/BA,339.65
PR,Itaguajé/PR,523.98
MG,Itaguara/MG,610.65
GO,Itaguari/GO,560.17
GO,Itaguaru/GO,580.67
TO,Itaguatins/TO,281.62
BA,Itaguaçu da Bahia/BA,245.68
ES,Itaguaçu/ES,522.25
RJ,Itaguaí/RJ,635.5
PI,Itainópolis/PI,237.76
MA,Itaipava do Grajaú/MA,136.77
PR,Itaipulândia/PR,1019.87
MG,Itaipé/MG,277.8
CE,Itaitinga/CE,300.15
PA,Itaituba/PA,440.6
CE,Itaiçaba/CE,296.81
SC,Itaiópolis/SC,625.36
SC,Itajaí/SC,1014.0
SP,Itajobi/SP,739.45
BA,Itaju do Colônia/BA,276.93
SP,Itaju/SP,609.08
MG,Itajubá/MG,948.2
BA,Itajuípe/BA,354.2
GO,Itajá/GO,592.1
RN,Itajá/RN,306.0
RJ,Italva/RJ,593.88
BA,Itamaraju/BA,432.95
MG,Itamarandiba/MG,374.21
MG,Itamarati de Minas/MG,540.7
AM,Itamarati/AM,214.95
BA,Itamari/BA,325.0
MG,Itambacuri/MG,370.48
PR,Itambaracá/PR,499.63
MG,Itambé do Mato Dentro/MG,345.17
BA,Itambé/BA,312.32
PE,Itambé/PE,271.0
PR,Itambé/PR,588.49
MG,Itamogi/MG,502.2
MG,Itamonte/MG,604.91
BA,Itanagra/BA,289.16
MG,Itanhandu/MG,706.47
MT,Itanhangá/MT,620.06
SP,Itanhaém/SP,690.67
MG,Itanhomi/MG,474.77
BA,Itanhém/BA,388.04
MG,Itaobim/MG,362.88
SP,Itaoca/SP,395.32
RJ,Itaocara/RJ,607.18
GO,Itapaci/GO,705.2
MG,Itapagipe/MG,741.95
CE,Itapajé/CE,263.18
BA,Itaparica/BA,476.99
BA,Itapebi/BA,273.69
SP,Itapecerica da Serra/SP,619.82
MG,Itapecerica/MG,594.71
MA,Itapecuru Mirim/MA,221.87
PR,Itapejara d'Oeste/PR,674.12
SC,Itapema/SC,1078.48
ES,Itapemirim/ES,428.61
RJ,Itaperuna/RJ,688.83
PR,Itaperuçu/PR,468.04
PE,Itapetim/PE,331.14
BA,Itapetinga/BA,506.76
SP,Itapetininga/SP,741.64
MG,Itapeva/MG,620.04
SP,Itapeva/SP,630.48
SP,Itapevi/SP,575.72
BA,Itapicuru/BA,185.7
CE,Itapipoca/CE,264.08
SP,Itapira/SP,849.81
AM,Itapiranga/AM,321.94
SC,Itapiranga/SC,942.44
SP,Itapirapuã Paulista/SP,323.42
GO,Itapirapuã/GO,518.21
TO,Itapiratins/TO,357.54
PE,Itapissuma/PE,312.47
BA,Itapitanga/BA,225.1
CE,Itapiúna/CE,209.53
SE,Itaporanga d'Ajuda/SE,242.62
PB,Itaporanga/PB,349.02
SP,Itaporanga/SP,552.76
PB,Itapororoca/PB,235.44
TO,Itaporã do Tocantins/TO,363.13
MS,Itaporã/MS,487.51
SC,Itapoá/SC,793.24
RS,Itapuca/RS,660.33
SP,Itapura/SP,556.29
GO,Itapuranga/GO,621.79
RO,Itapuã do Oeste/RO,411.36
SP,Itapuí/SP,687.46
BA,Itapé/BA,285.13
SP,Itaquaquecetuba/SP,502.85
BA,Itaquara/BA,229.04
RS,Itaqui/RS,576.71
MS,Itaquiraí/MS,442.57
PE,Itaquitinga/PE,251.09
ES,Itarana/ES,607.49
BA,Itarantim/BA,352.74
SP,Itararé/SP,510.2
CE,Itarema/CE,214.89
SP,Itariri/SP,434.58
GO,Itarumã/GO,960.55
RS,Itati/RS,592.8
RJ,Itatiaia/RJ,773.48
MG,Itatiaiuçu/MG,490.54
RS,Itatiba do Sul/RS,607.67
SP,Itatiba/SP,1080.74
BA,Itatim/BA,245.37
SP,Itatinga/SP,568.58
CE,Itatira/CE,196.02
PB,Itatuba/PB,244.16
AP,Itaubal/AP,213.26
PI,Itaueira/PI,321.64
GO,Itauçu/GO,611.99
MG,Itaverava/MG,363.06
SP,Itaí/SP,594.77
PE,Itaíba/PE,218.32
MG,Itaú de Minas/MG,913.39
RN,Itaú/RN,310.63
MT,Itaúba/MT,680.94
PR,Itaúna do Sul/PR,460.51
MG,Itaúna/MG,847.74
MA,Itinga do Maranhão/MA,336.91
