state,city,RDPC
RN,Areia Branca/RN,449.02
SE,Areia Branca/SE,294.32
PB,Areia de Baraúnas/PB,270.54
PB,Areia/PB,319.92
PB,Areial/PB,282.18
SP,Areias/SP,396.78
SP,Areiópolis/SP,570.09
MT,Arenápolis/MT,540.59
GO,Arenópolis/GO,531.91
MG,Argirita/MG,442.45
MG,Aricanduva/MG,249.75
MG,Arinos/MG,349.52
MT,Aripuanã/MT,558.26
RO,Ariquemes/RO,689.95
PR,Ariranha do Ivaí/PR,420.24
SP,Ariranha/SP,751.35
SC,Armazém/SC,814.95
RJ,Armação dos Búzios/RJ,851.39
CE,Arneiroz/CE,269.77
PI,Aroazes/PI,265.91
PI,Aroeiras do Itaim/PI,182.29
PB,Aroeiras/PB,226.05
RJ,Arraial do Cabo/RJ,714.47
PI,Arraial/PI,195.46
TO,Arraias/TO,418.64
RS,Arroio Grande/RS,528.13
SC,Arroio Trinta/SC,1029.14
RS,Arroio do Meio/RS,850.06
RS,Arroio do Padre/RS,883.18
RS,Arroio do Sal/RS,800.4
RS,Arroio do Tigre/RS,654.51
RS,Arroio dos Ratos/RS,623.54
SP,Artur Nogueira/SP,823.24
GO,Aruanã/GO,654.67
SP,Arujá/SP,910.67
SC,Arvoredo/SC,675.6
RS,Arvorezinha/RS,675.18
RN,Arês/RN,309.04
SC,Ascurra/SC,793.09
SP,Aspásia/SP,619.43
CE,Assaré/CE,282.6
PR,Assaí/PR,723.56
AC,Assis Brasil/AC,291.33
PR,Assis Chateaubriand/PR,676.1
SP,Assis/SP,967.39
PI,Assunção do Piauí/PI,141.79
PB,Assunção/PB,336.67
MG,Astolfo Dutra/MG,572.06
PR,Astorga/PR,875.14
AM,Atalaia do Norte/AM,159.21
AL,Atalaia/AL,237.33
PR,Atalaia/PR,649.55
SC,Atalanta/SC,781.32
MG,Ataléia/MG,317.64
SP,Atibaia/SP,1063.52
ES,Atilio Vivacqua/ES,493.81
TO,Augustinópolis/TO,364.32
PA,Augusto Corrêa/PA,159.05
RS,Augusto Pestana/RS,1016.34
MG,Augusto de Lima/MG,384.1
BA,Aurelino Leal/BA,253.19
SP,Auriflama/SP,829.68
GO,Aurilândia/GO,489.23
PA,Aurora do Pará/PA,184.39
TO,Aurora do Tocantins/TO,535.8
CE,Aurora/CE,255.78
SC,Aurora/SC,841.85
AM,Autazes/AM,228.43
SP,Avanhandava/SP,579.71
SP,Avaré/SP,854.42
SP,Avaí/SP,531.2
PA,Aveiro/PA,148.71
PI,Avelino Lopes/PI,218.97
GO,Avelinópolis/GO,556.03
TO,Axixá do Tocantins/TO,324.56
MA,Axixá/MA,223.51
MA,Açailândia/MA,438.56
RN,Açu/RN,432.38
MG,Açucena/MG,325.42
TO,Babaçulândia/TO,313.37
MA,Bacabal/MA,375.57
MA,Bacabeira/MA,257.4
MA,Bacuri/MA,230.45
MA,Bacurituba/MA,152.38
SP,Bady Bassitt/SP,783.57
MG,Baependi/MG,497.21
PA,Bagre/PA,159.41
RS,Bagé/RS,795.56
BA,Baianópolis/BA,235.05
PI,Baixa Grande do Ribeiro/PI,225.94
BA,Baixa Grande/BA,243.98
CE,Baixio/CE,265.94
ES,Baixo Guandu/ES,516.34
PA,Baião/PA,226.99
SP,Balbinos/SP,586.02
MG,Baldim/MG,458.08
GO,Baliza/GO,365.35
SC,Balneário Arroio do Silva/SC,866.42
SC,Balneário Barra do Sul/SC,676.33
SC,Balneário Camboriú/SC,1625.59
SC,Balneário Gaivota/SC,768.73
RS,Balneário Pinhal/RS,662.85
SC,Balneário Piçarras/SC,826.13
PR,Balsa Nova/PR,652.54
MA,Balsas/MA,531.6
MG,Bambuí/MG,777.46
CE,Banabuiú/CE,229.99
SP,Bananal/SP,595.74
PB,Bananeiras/PB,253.3
MG,Bandeira do Sul/MG,554.52
MG,Bandeira/MG,302.0
SC,Bandeirante/SC,534.25
TO,Bandeirantes do Tocantins/TO,278.0
MS,Bandeirantes/MS,602.02
PR,Bandeirantes/PR,679.72
PA,Bannach/PA,416.31
BA,Banzaê/BA,228.54
PB,Baraúna/PB,211.36
RN,Baraúna/RN,263.68
MG,Barbacena/MG,854.27
CE,Barbalha/CE,362.9
PR,Barbosa Ferraz/PR,507.7
SP,Barbosa/SP,536.37
PA,Barcarena/PA,437.43
RN,Barcelona/RN,266.71
AM,Barcelos/AM,237.29
SP,Bariri/SP,781.34
SC,Barra Bonita/SC,594.28
SP,Barra Bonita/SP,915.28
PI,Barra D'Alcântara/PI,211.18
RS,Barra Funda/RS,757.01
MG,Barra Longa/MG,362.62
RJ,Barra Mansa/RJ,705.1
SC,Barra Velha/SC,773.05
BA,Barra da Estiva/BA,270.66
PE,Barra de Guabiraba/PE,257.4
PB,Barra de Santa Rosa/PB,233.51
PB,Barra de Santana/PB,211.08
AL,Barra de Santo Antônio/AL,247.81
ES,Barra de São Francisco/ES,527.84
AL,Barra de São Miguel/AL,422.78
PB,Barra de São Miguel/PB,302.44
MT,Barra do Bugres/MT,563.98
SP,Barra do Chapéu/SP,370.97
BA,Barra do Choça/BA,266.13
MA,Barra do Corda/MA,305.61
MT,Barra do Garças/MT,789.99
RS,Barra do Guarita/RS,609.31
PR,Barra do Jacaré/PR,543.58
BA,Barra do Mendes/BA,292.41
TO,Barra do Ouro/TO,256.28
RJ,Barra do Piraí/RJ,719.16
RS,Barra do Quaraí/RS,483.29
RS,Barra do Ribeiro/RS,589.16
RS,Barra do Rio Azul/RS,634.55
BA,Barra do Rocha/BA,304.56
SP,Barra do Turvo/SP,390.88
SE,Barra dos Coqueiros/SE,448.81
BA,Barra/BA,183.03
PR,Barracão/PR,688.92
RS,Barracão/RS,667.95
PI,Barras/PI,257.99
CE,Barreira/CE,246.69
PI,Barreiras do Piauí/PI,260.79
BA,Barreiras/BA,602.82
AM,Barreirinha/AM,148.28
MA,Barreirinhas/MA,197.08
PE,Barreiros/PE,263.2
SP,Barretos/SP,917.0
SP,Barrinha/SP,668.32
BA,Barro Alto/BA,247.32
GO,Barro Alto/GO,628.55
PI,Barro Duro/PI,359.06
BA,Barro Preto/BA,287.6
CE,Barro/CE,254.44
BA,Barrocas/BA,284.41
TO,Barrolândia/TO,335.26
CE,Barroquinha/CE,192.96
RS,Barros Cassal/RS,587.45
MG,Barroso/MG,535.1
SP,Barueri/SP,1095.84
SP,Barão de Antonina/SP,536.63
MG,Barão de Cocais/MG,546.85
RS,Barão de Cotegipe/RS,823.2
MA,Barão de Grajaú/MA,292.55
MT,Barão de Melgaço/MT,330.46
MG,Barão de Monte Alto/MG,377.1
RS,Barão do Triunfo/RS,441.81
RS,Barão/RS,947.28
SP,Bastos/SP,609.76
MS,Bataguassu/MS,614.34
AL,Batalha/AL,265.62
PI,Batalha/PI,230.66
SP,Batatais/SP,941.79
MS,Batayporã/MS,631.47
CE,Baturité/CE,284.88
SP,Bauru/SP,1163.86
PB,Bayeux/PB,376.74
RN,Baía Formosa/RN,315.25
PB,Baía da Traição/PB,231.78
SP,Bebedouro/SP,881.64
CE,Beberibe/CE,304.61
CE,Bela Cruz/CE,221.07
PR,Bela Vista da Caroba/PR,507.41
GO,Bela Vista de Goiás/GO,708.62
MG,Bela Vista de Minas/MG,440.23
MA,Bela Vista do Maranhão/MA,197.65
PR,Bela Vista do Paraíso/PR,710.14
PI,Bela Vista do Piauí/PI,203.61
SC,Bela Vista do Toldo/SC,389.28
MS,Bela Vista/MS,621.23
